Payload Size, Packet Size, RTT
0,68,0.005812999999996293
5,73,0.0006669999999999732
10,78,0.0006429999999966185
15,83,0.0005260000000006926
20,88,0.0006380000000021369
25,93,0.0008219999999994343
30,98,0.0004950000000008004
35,103,0.0009000000000014552
40,108,0.0007550000000051682
45,113,0.000542000000002929
50,118,0.0014109999999973866
55,123,0.0005869999999958964
60,128,0.05043900000000434
65,133,0.0005200000000016303
70,138,0.0011820000000000164
75,143,0.00047800000000108867
80,148,0.0051890000000014425
85,153,0.0009039999999984616
90,158,0.0018080000000040286
95,163,0.0004909999999966885
100,168,0.015141999999997324
