"No.","Time","Source","Destination","Protocol","Length","Info"
"1","16:40:43.879087000","127.0.0.1","127.0.0.1","UDP","44","52957  >  5681 Len=2"
"2","16:40:43.882126000","127.0.0.1","127.0.0.1","UDP","44","5681  >  52957 Len=2"
"3","16:40:44.043914000","127.0.0.1","127.0.0.1","UDP","49","42201  >  5681 Len=7"
"4","16:40:44.044087000","127.0.0.1","127.0.0.1","UDP","49","5681  >  42201 Len=7"
"5","16:40:44.186797000","127.0.0.1","127.0.0.1","UDP","54","42918  >  5681 Len=12"
"6","16:40:44.186953000","127.0.0.1","127.0.0.1","UDP","54","5681  >  42918 Len=12"
"7","16:40:44.439662000","127.0.0.1","127.0.0.1","UDP","59","62035  >  5681 Len=17"
"8","16:40:44.439894000","127.0.0.1","127.0.0.1","UDP","59","5681  >  62035 Len=17"
"9","16:40:44.543365000","127.0.0.1","127.0.0.1","UDP","64","57127  >  5681 Len=22"
"10","16:40:44.544846000","127.0.0.1","127.0.0.1","UDP","64","5681  >  57127 Len=22"
"11","16:40:44.672388000","127.0.0.1","127.0.0.1","UDP","69","53135  >  5681 Len=27"
"12","16:40:44.672783000","127.0.0.1","127.0.0.1","UDP","69","5681  >  53135 Len=27"
"13","16:40:44.814851000","127.0.0.1","127.0.0.1","UDP","74","48819  >  5681 Len=32"
"14","16:40:44.815002000","127.0.0.1","127.0.0.1","UDP","74","5681  >  48819 Len=32"
"15","16:40:45.023369000","127.0.0.1","127.0.0.1","UDP","79","51877  >  5681 Len=37"
"16","16:40:45.023623000","127.0.0.1","127.0.0.1","UDP","79","5681  >  51877 Len=37"
"17","16:40:45.152314000","127.0.0.1","127.0.0.1","UDP","84","48524  >  5681 Len=42"
"18","16:40:45.152510000","127.0.0.1","127.0.0.1","UDP","84","5681  >  48524 Len=42"
"19","16:40:45.256079000","127.0.0.1","127.0.0.1","UDP","89","51416  >  5681 Len=47"
"20","16:40:45.256235000","127.0.0.1","127.0.0.1","UDP","89","5681  >  51416 Len=47"
"21","16:40:45.408826000","127.0.0.1","127.0.0.1","UDP","94","12754  >  5681 Len=52"
"22","16:40:45.409022000","127.0.0.1","127.0.0.1","UDP","94","5681  >  12754 Len=52"
"23","16:40:45.579757000","127.0.0.1","127.0.0.1","UDP","99","23437  >  5681 Len=57"
"24","16:40:45.579924000","127.0.0.1","127.0.0.1","UDP","99","5681  >  23437 Len=57"
"25","16:40:45.688714000","127.0.0.1","127.0.0.1","UDP","104","32701  >  5681 Len=62"
"26","16:40:45.689021000","127.0.0.1","127.0.0.1","UDP","104","5681  >  32701 Len=62"
"27","16:40:45.836475000","127.0.0.1","127.0.0.1","UDP","109","59899  >  5681 Len=67"
"28","16:40:45.836658000","127.0.0.1","127.0.0.1","UDP","109","5681  >  59899 Len=67"
"29","16:40:46.064883000","127.0.0.1","127.0.0.1","UDP","114","25267  >  5681 Len=72"
"30","16:40:46.065280000","127.0.0.1","127.0.0.1","UDP","114","5681  >  25267 Len=72"
"31","16:40:46.162912000","127.0.0.1","127.0.0.1","UDP","119","19058  >  5681 Len=77"
"32","16:40:46.163212000","127.0.0.1","127.0.0.1","UDP","119","5681  >  19058 Len=77"
"33","16:40:46.348357000","127.0.0.1","127.0.0.1","UDP","124","18438  >  5681 Len=82"
"34","16:40:46.348653000","127.0.0.1","127.0.0.1","UDP","124","5681  >  18438 Len=82"
"35","16:40:46.453023000","127.0.0.1","127.0.0.1","UDP","129","18307  >  5681 Len=87"
"36","16:40:46.453240000","127.0.0.1","127.0.0.1","UDP","129","5681  >  18307 Len=87"
"37","16:40:46.565470000","127.0.0.1","127.0.0.1","UDP","134","15907  >  5681 Len=92"
"38","16:40:46.565685000","127.0.0.1","127.0.0.1","UDP","134","5681  >  15907 Len=92"
"39","16:40:46.692516000","127.0.0.1","127.0.0.1","UDP","139","47341  >  5681 Len=97"
"40","16:40:46.692812000","127.0.0.1","127.0.0.1","UDP","139","5681  >  47341 Len=97"
"41","16:40:46.787438000","127.0.0.1","127.0.0.1","UDP","144","17862  >  5681 Len=102"
"42","16:40:46.787899000","127.0.0.1","127.0.0.1","UDP","144","5681  >  17862 Len=102"
